Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34;Column35
IMEI;METAR;Date/Time (UTC);Unit Type;DataType;Latitude;Longitude;Elevation (ft);Tilt (°);Orientation (°);Wind Direction (°);Wind Speed (kt);Peak Wind Direction (°);Peak Wind Speed (kt);Visibility (SM);Weather;Cloud Layers (ft);Temperature (°F);DewPoint (°F);Relative Humidity (%);Altimeter (inHg);Precipitation (in/hr);Ceilometer Hits;Wind Chill (°F);Heat Index (°F);Lightning Frequency;Lightning Distance (NM);Voltage (V);Mode;Station Pressure (inHg);Pressure Altitude (ft);Density Altitude (ft);Sedimentatary Interference;Full Packet;
300534066581040;METAR 300534066581040 252355Z AUTO 09004G05KT M1/4SM FG CLR M10/M13 A2980 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 2355Z;;Weather;53.3075;-60.4006;131;8;6;91;4;91;5;M1/4SM;FG;CLR;14.5;9.5;80;29.8;0;0/4;7.1;9.5;0; ;5.4;20 Minute;29.66;233;-2700;OK;@0deN:251:10/10  B:5.40:2:000000:79:000:ZZ  T:26/02/25,23:55:39  LA:53.30750  LO:-60.40060  EL:40:z  OR:6:8:8  TA:-9.7  BA:1004.76:2980  RH:80  WI:4:91:0.8:S  GU:5:91  LD:?:0:--  CL:0ca14:0:0:0:0  PW:0.00:0:?:--:90:1396:1396  VI:0.1  XA:0:0:0:0  XD:0:0:0:0:0  ;
300534066581040;METAR 300534066581040 252335Z AUTO 08003G04KT M1/4SM FG CLR M10/M13 A2981 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 2335Z;;Weather;53.3075;-60.4006;131;8;6;82;3;74;4;M1/4SM;FG;CLR;14.5;9.3;79;29.81;0;0/4;8.8;9.4;0; ;5.4;20 Minute;29.67;228;-2799;OK;@0deN:250:10/10  B:5.40:2:000000:79:000:ZZ  T:26/02/25,23:35:38  LA:53.30750  LO:-60.40060  EL:40:z  OR:6:8:8  TA:-9.7  BA:1004.94:2981  RH:79  WI:3:82:0.5:S  GU:4:74  LD:?:0:--  CL:0ca14:0:0:0:0  PW:0.00:0:?:--:90:852:852  VI:0.1  XA:0:0:0:0  XD:0:0:0:0:0  ;
300534066581040;METAR 300534066581040 252315Z AUTO 08002G03KT M1/4SM FG CLR M10/M13 A2981 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 2315Z;;Weather;53.3075;-60.4006;131;8;5;82;2;80;3;M1/4SM;FG;CLR;14.5;9.3;79;29.81;0;0/4;;9.4;0; ;5.5;20 Minute;29.67;224;-2799;OK;@0deN:249:10/10  B:5.50:2:000000:79:000:ZZ  T:26/02/25,23:15:39  LA:53.30750  LO:-60.40060  EL:40:z  OR:5:8:8  TA:-9.7  BA:1005.06:2981  RH:79  WI:2:82:0.6:S  GU:3:80  LD:?:0:--  CL:0ca14:0:0:0:0  PW:0.00:0:?:--:90:440:440  VI:0.2  XA:0:0:0:0  XD:0:0:0:0:0  ;
300534066581040;METAR 300534066581040 252255Z AUTO 09002G03KT 1 1/2SM BR CLR M10/M13 A2981 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 2255Z;;Weather;53.3075;-60.4006;131;8;6;87;2;82;3;1 1/2SM;BR;CLR;14.5;9.0;78;29.81;0;0/4;;9.4;0; ;5.5;20 Minute;29.67;225;-2799;OK;@0deN:248:10/10  B:5.50:2:000000:79:000:ZZ  T:26/02/25,22:55:39  LA:53.30750  LO:-60.40060  EL:40:z  OR:6:8:8  TA:-9.7  BA:1005.04:2981  RH:78  WI:2:87:0.6:S  GU:3:82  LD:?:0:--  CL:0ca14:0:0:0:0  PW:0.00:0:?:--:90:324:324  VI:1.6  XA:0:0:0:0  XD:0:0:0:0:0  ;
300534066581040;METAR 300534066581040 252235Z AUTO 10003KT 6SM CLR M10/M13 A2981 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 2235Z;;Weather;53.3075;-60.4006;131;8;6;98;3;100;3;6SM;;CLR;14.5;9.0;78;29.81;0;0/4;8.8;9.4;0; ;5.5;20 Minute;29.67;222;-2799;OK;@0deN:247:10/10  B:5.50:2:000000:79:000:ZZ  T:26/02/25,22:35:39  LA:53.30750  LO:-60.40060  EL:40:z  OR:6:8:8  TA:-9.7  BA:1005.16:2981  RH:78  WI:3:98:0.6:S  GU:3:100  LD:?:0:--  CL:0ca14:0:0:0:0  PW:0.00:0:?:--:90:286:286  VI:6.3  XA:0:0:0:0  XD:0:0:0:0:0  ;
300534066581040;METAR 300534066581040 252215Z AUTO 10004G05KT 6SM ///008 M10/M13 A2981 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 2215Z;;Weather;53.3075;-60.4006;131;8;6;98;4;99;5;6SM;;800;14.5;9.0;78;29.81;0;1/4;7.1;9.4;0; ;5.5;20 Minute;29.67;221;-2799;OK;@0deN:246:10/10  B:5.50:2:000000:79:000:ZZ  T:26/02/25,22:15:39  LA:53.30750  LO:-60.40060  EL:40:z  OR:6:8:8  TA:-9.7  BA:1005.19:2981  RH:78  WI:4:98:0.7:S  GU:5:99  LD:?:0:--  CL:1ca14:0:0:0:231  PW:0.00:0:?:--:90:274:274  VI:6.3  XA:0:0:0:0  XD:0:0:0:0:0  ;
300534066581040;METAR 300534066581040 252155Z AUTO 10004G05KT 6SM ///007 ///010 ///016 M10/M13 A2981 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 2155Z;;Weather;53.3075;-60.4006;131;8;6;96;4;95;5;6SM;;700, 1000, 1600;14.5;8.6;77;29.81;0;3/4;7.1;9.3;0; ;5.5;20 Minute;29.67;222;-2799;OK;@0deN:245:10/10  B:5.50:2:000000:79:000:ZZ  T:26/02/25,21:55:38  LA:53.30750  LO:-60.40060  EL:40:z  OR:6:8:8  TA:-9.7  BA:1005.15:2981  RH:77  WI:4:96:0.7:S  GU:5:95  LD:?:0:--  CL:1ca14:306:206:493:0  PW:0.00:0:?:--:90:275:275  VI:6.3  XA:0:0:0:0  XD:0:0:0:0:0  ;
300534066581040;METAR 300534066581040 252135Z AUTO 08005G09KT 6SM ///002 ///005 M10/M13 A2981 RMK AO2 CLD LYR BLO 004 SLPNO 53.3075° -60.4006°;02/25/2026 2135Z;;Weather;53.3075;-60.4006;131;8;6;81;5;76;9;6SM;;200, 500;14.7;8.6;76;29.81;0;2/4;5.9;9.5;0; ;5.5;20 Minute;29.67;224;-2700;OK;@0deN:244:10/10  B:5.50:2:000000:79:000:ZZ  T:26/02/25,21:35:39  LA:53.30750  LO:-60.40060  EL:40:z  OR:6:8:8  TA:-9.6  BA:1005.07:2981  RH:76  WI:5:81:0.7:S  GU:9:76  LD:?:0:--  CL:1ca14:60:156:0:0  PW:0.00:0:?:--:90:276:276  VI:6.3  XA:0:0:0:0  XD:0:0:0:0:0  ;
300534066581040;METAR 300534066581040 252115Z AUTO 09005G06KT 6SM ///002 M10/M13 A2981 RMK AO2 SLPNO 53.3075° -60.4006°;02/25/2026 2115Z;;Weather;53.3075;-60.4006;131;8;6;87;5;88;6;6SM;;200;14.9;8.4;75;29.81;0;1/4;6.1;9.6;0; ;5.5;20 Minute;29.67;226;-2700;OK;@0deN:243:10/10  B:5.50:2:000000:79:000:ZZ  T:26/02/25,21:15:39  LA:53.30750  LO:-60.40060  EL:40:z  OR:6:8:8  TA:-9.5  BA:1005.01:2981  RH:75  WI:5:87:1.1:S  GU:6:88  LD:?:0:--  CL:4ca14:0:0:0:60  PW:0.00:0:?:--:90:279:279  VI:6.3  XA:0:0:0:0  XD:0:0:0:0:0  ;
