Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34;Column35
IMEI;METAR;Date/Time (UTC);Unit Type;DataType;Latitude;Longitude;Elevation (ft);Tilt (°);Orientation (°);Wind Direction (°);Wind Speed (kt);Peak Wind Direction (°);Peak Wind Speed (kt);Visibility (SM);Weather;Cloud Layers (ft);Temperature (°F);DewPoint (°F);Relative Humidity (%);Altimeter (inHg);Precipitation (in/hr);Ceilometer Hits;Wind Chill (°F);Heat Index (°F);Lightning Frequency;Lightning Distance (NM);Voltage (V);Mode;Station Pressure (inHg);Pressure Altitude (ft);Density Altitude (ft);Sedimentatary Interference;Full Packet;
300534066581040;METAR 300534066581040 220855Z AUTO 35011G14KT 6SM ///024 M10/M14 A3019 RMK AO2 SLPNO 53.3075° -60.4006°;02/22/2026 0855Z;;Weather;53.3075;-60.4006;128;8;7;348;11;350;14;6SM;;2400;14.5;7.2;72;30.19;0;4/4;0.4;9.1;0; ;4.2;20 Minute;30.05;-132;-3199;OK;@0deN:192:10/10  B:4.20:2:000000:79:000:ZZ  T:26/02/22,08:55:39  LA:53.30750  LO:-60.40060  EL:39:z  OR:7:8:8  TA:-9.7  BA:1018.08:3019  RH:72  WI:11:348:1.7:S  GU:14:350  LD:?:0:--  CL:1ca14:730:730:743:730  PW:0.00:0:?:--:90:268:268  VI:6.3  XA:0:0:0:0  XD:0:0:0:0:0  ;
300534066581040;METAR 300534066581040 220835Z AUTO 35010G11KT 6SM ///022 ///023 ///024 M9/M14 A3019 RMK AO2 SLPNO 53.3075° -60.4006°;02/22/2026 0835Z;;Weather;53.3075;-60.4006;128;8;7;345;10;346;11;6SM;;2200, 2300, 2400;15.1;7.7;72;30.19;0;4/4;1.8;9.7;0; ;4.3;20 Minute;30.05;-128;-3199;OK;@0deN:191:10/10  B:4.30:2:000000:79:000:ZZ  T:26/02/22,08:35:39  LA:53.30750  LO:-60.40060  EL:39:z  OR:7:8:8  TA:-9.4  BA:1017.93:3019  RH:72  WI:10:345:1.3:S  GU:11:346  LD:?:0:--  CL:1ca14:730:730:680:693  PW:0.00:0:?:--:90:269:269  VI:6.3  XA:0:0:0:0  XD:0:0:0:0:0  ;
300534066581040;METAR 300534066581040 220815Z AUTO 35010G13KT 6SM ///025 ///026 M9/M13 A3019 RMK AO2 SLPNO 53.3075° -60.4006°;02/22/2026 0815Z;;Weather;53.3075;-60.4006;128;8;7;348;10;347;13;6SM;;2500, 2600;16.3;8.6;71;30.19;0;4/4;3.4;11;0; ;4.4;20 Minute;30.05;-126;-3100;OK;@0deN:190:10/10  B:4.40:2:000000:79:000:ZZ  T:26/02/22,08:15:39  LA:53.30750  LO:-60.40060  EL:39:z  OR:7:8:8  TA:-8.7  BA:1017.88:3019  RH:71  WI:10:348:1.2:S  GU:13:347  LD:?:0:--  CL:1cc14:755:780:755:755  PW:0.00:0:?:--:90:268:268  VI:6.3  XA:0:0:0:0  XD:0:0:0:0:0  ;
300534066581040;METAR 300534066581040 220755Z AUTO 01010G12KT 6SM ///024 ///025 ///026 M8/M13 A3018 RMK AO2 SLPNO 53.3075° -60.4006°;02/22/2026 0755Z;;Weather;53.3075;-60.4006;128;7;7;10;10;10;12;6SM;;2400, 2500, 2600;17.4;9.3;70;30.18;0;4/4;4.7;12.2;0; ;4.4;20 Minute;30.04;-118;-2999;OK;@0deN:189:10/10  B:4.40:2:000000:79:000:ZZ  T:26/02/22,07:55:39  LA:53.30750  LO:-60.40060  EL:39:z  OR:7:7:7  TA:-8.1  BA:1017.57:3018  RH:70  WI:10:10:1.5:S  GU:12:10  LD:?:0:--  CL:1cc14:743:780:780:768  PW:0.00:0:?:--:90:267:267  VI:6.3  XA:0:0:0:0  XD:0:0:0:0:0  ;
300534066581040;METAR 300534066581040 220735Z AUTO 01008G10KT 6SM ///024 ///025 M8/M12 A3018 RMK AO2 SLPNO 53.3075° -60.4006°;02/22/2026 0735Z;;Weather;53.3075;-60.4006;128;7;7;11;8;9;10;6SM;;2400, 2500;17.6;9.9;71;30.18;0;4/4;6.4;12.4;0; ;4.5;20 Minute;30.04;-120;-2999;OK;@0deN:188:10/10  B:4.50:2:000000:79:000:ZZ  T:26/02/22,07:35:39  LA:53.30750  LO:-60.40060  EL:39:z  OR:7:7:7  TA:-8.0  BA:1017.65:3018  RH:71  WI:8:11:1.3:S  GU:10:9  LD:?:0:--  CL:1cc14:768:743:768:768  PW:0.00:0:?:--:90:268:268  VI:6.3  XA:0:0:0:0  XD:0:0:0:0:0  ;
300534066581040;METAR 300534066581040 220715Z AUTO 01007G09KT 6SM ///023 ///024 ///026 M8/M12 A3018 RMK AO2 SLPNO 53.3075° -60.4006°;02/22/2026 0715Z;;Weather;53.3075;-60.4006;128;7;6;14;7;13;9;6SM;;2300, 2400, 2600;18.0;10.2;71;30.18;0;4/4;7.7;12.8;0; ;4.5;20 Minute;30.04;-116;-2900;OK;@0deN:187:10/10  B:4.50:2:000000:79:000:ZZ  T:26/02/22,07:15:39  LA:53.30750  LO:-60.40060  EL:39:z  OR:6:7:7  TA:-7.8  BA:1017.49:3018  RH:71  WI:7:14:1.6:S  GU:9:13  LD:?:0:--  CL:1cc14:805:693:718:718  PW:0.00:0:?:--:90:272:272  VI:6.3  XA:0:0:0:0  XD:0:0:0:0:0  ;
300534066581040;METAR 300534066581040 220655Z AUTO 01009G12KT 6SM ///023 ///024 ///026 M8/M12 A3018 RMK AO2 SLPNO 53.3075° -60.4006°;02/22/2026 0655Z;;Weather;53.3075;-60.4006;128;7;7;13;9;12;12;6SM;;2300, 2400, 2600;18.1;9.7;69;30.18;0;4/4;6.3;12.9;0; ;4.5;20 Minute;30.04;-114;-2900;OK;@0deN:186:10/10  B:4.50:2:000000:79:000:ZZ  T:26/02/22,06:55:39  LA:53.30750  LO:-60.40060  EL:39:z  OR:7:7:7  TA:-7.7  BA:1017.44:3018  RH:69  WI:9:13:1.5:S  GU:12:12  LD:?:0:--  CL:1ca14:693:730:730:780  PW:0.00:0:?:--:90:272:272  VI:6.3  XA:0:0:0:0  XD:0:0:0:0:0  ;
300534066581040;METAR 300534066581040 220635Z AUTO 01008G12KT 6SM ///022 ///023 M8/M12 A3017 RMK AO2 SLPNO 53.3075° -60.4006°;02/22/2026 0635Z;;Weather;53.3075;-60.4006;128;7;7;12;8;12;12;6SM;;2200, 2300;18.3;10.8;72;30.17;0;4/4;7.3;13.2;0; ;4.6;20 Minute;30.03;-110;-2900;OK;@0deN:185:10/10  B:4.60:2:000000:79:000:ZZ  T:26/02/22,06:35:39  LA:53.30750  LO:-60.40060  EL:39:z  OR:7:7:7  TA:-7.6  BA:1017.28:3017  RH:72  WI:8:12:1.4:S  GU:12:12  LD:?:0:--  CL:1ca14:680:705:693:693  PW:0.00:0:?:--:90:269:269  VI:6.3  XA:0:0:0:0  XD:0:0:0:0:0  ;
300534066581040;METAR 300534066581040 220615Z AUTO 03003G04KT 6SM ///018 ///021 ///022 ///023 M8/M12 A3017 RMK AO2 SLPNO 53.3075° -60.4006°;02/22/2026 0615Z;;Weather;53.3075;-60.4006;128;7;7;27;3;18;4;6SM;;1800, 2100, 2200, 2300;18.5;11.3;73;30.17;0;4/4;13.3;13.5;0; ;4.6;20 Minute;30.03;-110;-2900;OK;@0deN:184:10/10  B:4.60:2:000000:79:000:ZZ  T:26/02/22,06:15:39  LA:53.30750  LO:-60.40060  EL:39:z  OR:7:7:7  TA:-7.5  BA:1017.28:3017  RH:73  WI:3:27:0.5:S  GU:4:18  LD:?:0:--  CL:1ca14:630:555:693:680  PW:0.00:0:?:--:90:272:272  VI:6.3  XA:0:0:0:0  XD:0:0:0:0:0  ;
300534066581040;METAR 300534066581040 220555Z AUTO 02006G07KT 6SM ///019 ///021 ///023 M7/M12 A3016 RMK AO2 SLPNO 53.3075° -60.4006°;02/22/2026 0555Z;;Weather;53.3075;-60.4006;128;7;7;18;6;14;7;6SM;;1900, 2100, 2300;18.7;11.1;72;30.16;0;4/4;9.5;13.6;0; ;4.6;20 Minute;30.02;-104;-2900;OK;@0deN:183:10/10  B:4.60:2:000000:79:000:ZZ  T:26/02/22,05:55:39  LA:53.30750  LO:-60.40060  EL:39:z  OR:7:7:7  TA:-7.4  BA:1017.05:3016  RH:72  WI:6:18:1.5:S  GU:7:14  LD:?:0:--  CL:1ca14:643:655:705:593  PW:0.00:0:?:--:90:274:274  VI:6.3  XA:0:0:0:0  XD:0:0:0:0:0  ;
300534066581040;METAR 300534066581040 220535Z AUTO 02006G09KT 6SM ///002 ///020 ///021 ///022 M7/M12 A3016 RMK AO2 CLD LYR BLO 004 SLPNO 53.3075° -60.4006°;02/22/2026 0535Z;;Weather;53.3075;-60.4006;128;7;7;19;6;15;9;6SM;;200, 2000, 2100, 2200;18.9;11.1;71;30.16;0;4/4;9.8;13.8;0; ;4.7;20 Minute;30.02;-101;-2799;OK;@0deN:182:10/10  B:4.70:2:000000:79:000:ZZ  T:26/02/22,05:35:39  LA:53.30750  LO:-60.40060  EL:39:z  OR:7:7:7  TA:-7.3  BA:1016.96:3016  RH:71  WI:6:19:1.2:S  GU:9:15  LD:?:0:--  CL:1ca14:618:655:68:680  PW:0.00:0:?:--:90:271:271  VI:6.3  XA:0:0:0:0  XD:0:0:0:0:0  ;
